Rainfall,Humidity,FrostFreeDays,Temperature,CropYield
28.75775201,59.99889593,87.1349998,31.38301066,49.44522793
78.83051354,33.28235403,351.2610118,0.377196204,59.48705169
40.89769218,48.86130337,219.49849,31.16263531,38.07211
88.3017404,95.44738275,187.9858504,29.17562608,73.51606095
94.04672843,48.29023972,146.9392699,25.20527411,157.3125277
4.555649939,89.03502221,321.2899875,19.2364332,-144.3548144
52.8105488,91.44381869,132.8935306,6.265474055,-15.95749273
89.24190444,60.87349823,105.2073375,0.328620793,103.1312051
55.14350145,41.06897765,62.28551081,18.09833577,115.3999242
45.66147353,14.70946909,62.84268743,19.69173315,129.6733963
95.68333453,93.52998033,175.945551,15.58348446,72.25948615
45.33341562,30.12289,92.33219891,18.58663768,96.88123023
67.75706355,6.072057155,78.93299821,28.53116003,201.6852613
57.2633402,94.772694,246.1473816,2.212077053,-50.73877868
10.29246827,72.05962734,17.39722401,14.1913239,-26.39922159
89.98249704,14.22942956,255.8113769,32.11249092,188.4246577
24.60877344,54.92846561,128.439353,33.42835348,26.22975669
4.205953353,95.40912386,149.2645592,9.509976199,-118.8315124
32.79207193,58.54833531,299.6472332,14.1594441,-47.07472852
95.45036491,40.45102817,335.3829321,34.27541681,124.5988545
88.95393161,64.78934793,103.1228405,34.15053495,148.1429242
69.28034062,31.98206171,350.8032497,11.83581822,56.19027017
64.05068138,30.77200109,265.8639663,5.881932983,66.5563114
99.42697766,21.97676313,250.5269049,28.15968245,186.5082046
65.57057991,36.94888658,19.28803911,4.152267529,124.341533
70.85304682,98.42192035,144.2553491,1.34911092,3.119024437
54.40660247,15.42023008,174.4135636,39.97618112,139.8000801
59.41420204,9.104399988,204.4924412,1.394992163,92.33046917
28.91597373,14.19069078,254.8654821,13.53565135,34.81299617
14.71136473,69.00071015,334.2244915,36.60255047,-74.51982042
96.30242325,61.92564834,225.698198,24.68941079,128.8175006
90.22990451,89.13941171,156.3738507,11.45141395,66.5640592
69.07052784,67.29990926,197.859334,29.51189612,73.1739299
79.54674177,73.70777379,21.34464833,33.36217237,138.4790484
2.461368451,52.11357258,95.21275283,12.57083122,-35.82714444
47.77959711,65.98384497,144.960463,19.70266191,26.06420009
75.84595375,82.18054601,72.17682889,27.89495065,97.69583885
21.64079358,78.62815517,303.6535604,25.65849416,-75.17406045
31.81810076,97.98219174,55.80383633,25.7569166,-9.821340358
23.16257854,43.94315362,293.2477678,39.11413619,-2.800381864
14.28000224,31.17022021,199.5915471,16.58941338,-7.131779764
41.45463358,40.94749526,241.7459393,4.776191199,3.617535678
41.37243263,1.046711183,62.66995027,21.04118641,151.4158964
36.88454509,18.3849524,231.0652063,9.002934033,34.68998263
15.24447477,84.27293189,113.8324576,19.45647056,-51.78073768
13.88060634,23.11617821,264.4623364,14.80859194,-4.527058532
23.30340995,23.90999557,145.613036,39.33400723,75.55405216
46.59624503,7.669116533,353.8150901,15.53276461,42.04423162
26.59726404,24.5723678,353.1004053,9.169793613,-29.16330197
85.78277153,73.21352055,265.2464267,24.93190185,71.99648689
4.583116667,84.74531651,93.88411246,5.461607883,-89.8025777
44.22000742,49.75272671,80.95259615,38.69877977,94.76393377
79.89248456,38.79090298,216.4616629,20.60287232,115.8448381
12.189926,24.64489941,97.64532273,6.522813169,18.35560904
56.09479838,11.10964613,193.8406956,24.87609181,132.6796004
20.65313896,38.99944352,286.63146,39.43816661,5.532098983
12.75316502,57.1935314,61.34219585,26.7508607,16.84366273
75.33078643,21.68927628,147.6057011,16.75663588,152.1346725
89.50453592,44.4768002,172.1253413,12.93379973,129.4887692
37.44627759,21.79906687,316.8589845,33.4102128,39.5870687
66.51151946,50.22995633,337.8834039,5.752681745,12.3365193
9.484066092,35.39045718,321.9218091,7.712637875,-71.57449179
38.39696378,64.99851588,246.0781975,35.86954731,9.512787604
27.43836446,37.47139566,346.8109475,12.32478217,-30.38548217
81.46400389,35.54453808,188.5023864,14.53202174,136.3239122
44.85163414,53.36879455,210.4294428,31.35785915,51.29593765
81.0064353,74.03343604,122.7608902,7.735147197,75.07141548
81.23895095,22.11029378,126.7734905,0.710632475,133.5637258
79.43423211,41.27461186,7.308869702,16.26431465,167.2164582
43.98316876,26.56866868,183.5267617,19.32670677,72.49140227
75.44751586,62.99730535,317.930846,16.87379801,40.55558194
62.92211316,18.38284908,2.299786141,13.71235207,172.9611848
71.01824014,86.36441114,26.30085026,34.65933259,110.0101545
0.062477333,74.65680041,59.93709712,18.20432204,-59.51126378
47.53165741,66.82846497,281.1719371,21.35059495,-3.256856126
22.01188852,61.80178733,268.3422716,38.55373328,-23.58377161
37.98165377,37.22380602,354.734607,30.98366168,11.05672243
61.27710033,52.98356859,170.2624175,8.355053943,54.90545931
35.17979092,87.46823429,27.15034736,12.35147331,1.68017
11.11354243,58.17500998,236.8186154,38.85369801,-27.67709278
24.36194727,83.97677648,276.8865069,23.39600374,-83.55059211
66.80555874,31.24481649,50.04371957,30.43294501,171.0626742
41.76467797,70.82903222,144.753377,14.90837578,8.152491
78.8195834,26.50178061,82.11964516,30.76775645,188.0739789
10.28646443,59.4343194,21.15487459,21.50708732,7.926340906
43.48927415,48.12898005,144.5008312,36.55981799,76.94474906
98.495698,26.50327315,23.69882949,7.411857676,212.3497213
89.30511144,56.45904348,82.44854802,11.2887367,144.3244291
88.64690608,91.3188223,19.93962482,3.798496528,88.93618415
17.50526503,90.18743895,244.6529444,8.419483164,-110.19696
13.06956916,27.41666215,108.6757507,39.08395985,66.87927903
65.3101925,32.14827564,36.76337754,11.85208702,144.4179939
34.35164723,98.56408844,26.24499548,29.03932108,12.26896032
65.6758128,61.99933102,321.3608076,31.42751337,36.19831683
32.03732425,93.73140892,275.3003018,4.216709845,-92.77507698
18.76911193,46.65327023,298.061149,9.583785161,-57.15084409
78.22943013,40.68325933,358.4812364,10.8217949,63.45655192
9.359498671,65.92303242,37.81387041,4.042339763,-42.2007162
46.67790416,15.23466168,36.15026771,4.716553651,116.8384839
51.15054599,57.28670582,291.5735381,39.64946223,44.62273803
